username,white,score,accuracy,rating,tournament,round,points,rank,possible_rank
abhidabhi,True,1.0,93.1,2880,early-titled-tuesday-blitz-october-24-2023-4335031,2,2.0,1,1
abhidabhi,False,1.0,88.2,2886,early-titled-tuesday-blitz-october-24-2023-4335031,3,2.0,3,3
abhidabhi,True,1.0,88.2,2892,early-titled-tuesday-blitz-october-24-2023-4335031,4,3.0,3,3
abhidabhi,True,0.5,84.1,2900,early-titled-tuesday-blitz-october-24-2023-4335031,5,3.5,4,4
abhidabhi,False,0.5,87.4,2906,early-titled-tuesday-blitz-october-24-2023-4335031,6,4.5,4,4
abhidabhi,True,0.5,86.1,2900,early-titled-tuesday-blitz-october-24-2023-4335031,7,5.5,4,4
abhidabhi,False,0.5,90.8,2897,early-titled-tuesday-blitz-october-24-2023-4335031,8,5.5,6,6
abhidabhi,False,1.0,91.4,2905,early-titled-tuesday-blitz-october-24-2023-4335031,9,7.0,4,4
abhidabhi,True,1.0,91.2,2912,early-titled-tuesday-blitz-october-24-2023-4335031,10,7.0,6,6
abhidabhi,False,0.0,88.9,2906,early-titled-tuesday-blitz-october-24-2023-4335031,11,7.0,4,4
abund,False,1.0,96.6,2786,late-titled-tuesday-blitz-september-24-2024-5080899,1,1.0,1,1
abund,True,1.0,88.6,2789,late-titled-tuesday-blitz-september-24-2024-5080899,2,2.0,1,1
abund,False,1.0,91.6,2803,late-titled-tuesday-blitz-september-24-2024-5080899,3,3.0,1,1
abund,True,0.5,89.3,2808,late-titled-tuesday-blitz-september-24-2024-5080899,4,3.5,2,2
abund,True,0.0,,2803,late-titled-tuesday-blitz-september-24-2024-5080899,5,3.5,4,4
abund,False,0.0,,2790,late-titled-tuesday-blitz-september-24-2024-5080899,6,3.5,6,6
abund,True,0.5,97.5,2786,late-titled-tuesday-blitz-september-24-2024-5080899,7,4.0,6,6
abund,False,1.0,89.1,2790,late-titled-tuesday-blitz-september-24-2024-5080899,8,5.0,7,7
abund,True,1.0,90.7,2794,late-titled-tuesday-blitz-september-24-2024-5080899,9,6.0,6,6
abund,False,1.0,85.7,2799,late-titled-tuesday-blitz-september-24-2024-5080899,10,7.0,5,5
abund,True,1.0,93.4,2802,late-titled-tuesday-blitz-september-24-2024-5080899,11,8.0,5,5
abund,False,1.0,,2763,late-titled-tuesday-blitz-september-10-2024-5072893,1,1.0,1,1
abund,True,1.0,,2765,late-titled-tuesday-blitz-september-10-2024-5072893,2,2.0,1,1
abund,False,0.0,,2762,late-titled-tuesday-blitz-september-10-2024-5072893,3,2.0,3,3
abund,True,1.0,,2766,late-titled-tuesday-blitz-september-10-2024-5072893,4,4.0,1,1
abund,True,1.0,,2767,late-titled-tuesday-blitz-september-10-2024-5072893,5,4.5,2,2
abund,False,1.0,82.8,2778,late-titled-tuesday-blitz-september-10-2024-5072893,6,4.5,4,4
abund,True,0.0,77.0,2775,late-titled-tuesday-blitz-september-10-2024-5072893,7,3.5,8,8
abund,False,1.0,93.4,2788,late-titled-tuesday-blitz-september-10-2024-5072893,8,5.0,7,7
abund,False,1.0,90.8,2799,late-titled-tuesday-blitz-september-10-2024-5072893,9,6.0,6,6
abund,True,0.5,89.3,2804,late-titled-tuesday-blitz-september-10-2024-5072893,10,6.5,6,6
abund,False,1.0,84.4,2814,late-titled-tuesday-blitz-september-10-2024-5072893,11,8.0,5,5
abund,True,1.0,88.5,2810,late-titled-tuesday-blitz-may-28-2024-4786005,1,1.0,1,1
abund,False,1.0,76.9,2813,late-titled-tuesday-blitz-may-28-2024-4786005,2,2.0,1,1
abund,True,1.0,82.1,2816,late-titled-tuesday-blitz-may-28-2024-4786005,3,3.0,1,1
abund,True,0.0,87.6,2813,late-titled-tuesday-blitz-may-28-2024-4786005,4,3.0,3,3
abund,False,1.0,85.2,2817,late-titled-tuesday-blitz-may-28-2024-4786005,5,4.5,2,2
abund,False,1.0,94.7,2829,late-titled-tuesday-blitz-may-28-2024-4786005,6,4.5,4,4
abund,True,0.0,83.5,2825,late-titled-tuesday-blitz-may-28-2024-4786005,7,3.5,8,8
abund,False,1.0,93.8,2829,late-titled-tuesday-blitz-may-28-2024-4786005,8,5.0,5,5
abund,False,1.0,92.0,2833,late-titled-tuesday-blitz-may-28-2024-4786005,9,6.0,6,6
abund,True,0.5,75.1,2837,late-titled-tuesday-blitz-may-28-2024-4786005,10,6.5,6,6
abund,False,1.0,91.8,2849,late-titled-tuesday-blitz-may-28-2024-4786005,11,8.0,4,4
abund,False,1.0,92.3,2747,early-titled-tuesday-blitz-march-05-2024-4605129,1,1.0,1,1
abund,True,1.0,83.4,2751,early-titled-tuesday-blitz-march-05-2024-4605129,2,2.0,1,1
abund,False,0.0,80.8,2749,early-titled-tuesday-blitz-march-05-2024-4605129,3,2.0,3,3
abund,True,1.0,68.3,2753,early-titled-tuesday-blitz-march-05-2024-4605129,4,4.0,1,1
abund,False,1.0,90.8,2757,early-titled-tuesday-blitz-march-05-2024-4605129,5,4.5,2,2
abund,True,0.0,86.0,2754,early-titled-tuesday-blitz-march-05-2024-4605129,6,3.5,6,6
abund,False,1.0,91.4,2758,early-titled-tuesday-blitz-march-05-2024-4605129,7,4.5,6,6
abund,True,1.0,89.4,2769,early-titled-tuesday-blitz-march-05-2024-4605129,8,5.0,6,6
abund,False,0.5,92.6,2772,early-titled-tuesday-blitz-march-05-2024-4605129,9,5.5,7,7
abund,False,1.0,87.5,2783,early-titled-tuesday-blitz-march-05-2024-4605129,10,7.0,5,5
abund,True,1.0,96.4,2794,early-titled-tuesday-blitz-march-05-2024-4605129,11,8.0,5,5
actuary44,True,1.0,91.5,2533,late-titled-tuesday-blitz-december-05-2023-4414285,1,1.0,1,1
actuary44,True,0.0,79.9,2531,late-titled-tuesday-blitz-december-05-2023-4414285,2,1.0,2,2
actuary44,False,1.0,97.7,2532,late-titled-tuesday-blitz-december-05-2023-4414285,3,2.0,3,3
actuary44,False,0.0,69.4,2528,late-titled-tuesday-blitz-december-05-2023-4414285,4,2.0,5,5
actuary44,True,1.0,91.4,2533,late-titled-tuesday-blitz-december-05-2023-4414285,5,3.0,5,5
actuary44,False,1.0,76.9,2545,late-titled-tuesday-blitz-december-05-2023-4414285,6,4.0,5,5
actuary44,True,1.0,85.0,2557,late-titled-tuesday-blitz-december-05-2023-4414285,7,5.0,4,4
actuary44,False,0.0,81.0,2554,late-titled-tuesday-blitz-december-05-2023-4414285,8,5.0,7,7
actuary44,False,1.0,59.0,2565,late-titled-tuesday-blitz-december-05-2023-4414285,9,6.0,6,6
actuary44,True,1.0,87.1,2577,late-titled-tuesday-blitz-december-05-2023-4414285,10,7.0,5,5
actuary44,True,1.0,90.3,2590,late-titled-tuesday-blitz-december-05-2023-4414285,11,8.0,5,5
adar_07,True,1.0,90.6,2842,early-titled-tuesday-blitz-march-19-2024-4634461,1,1.0,1,1
adar_07,False,1.0,78.2,2845,early-titled-tuesday-blitz-march-19-2024-4634461,2,2.0,1,1
adar_07,True,1.0,91.6,2848,early-titled-tuesday-blitz-march-19-2024-4634461,3,3.0,1,1
adar_07,True,0.0,78.6,2844,early-titled-tuesday-blitz-march-19-2024-4634461,4,3.0,3,3
adar_07,False,1.0,82.1,2848,early-titled-tuesday-blitz-march-19-2024-4634461,5,4.0,3,3
adar_07,True,0.0,78.0,2844,early-titled-tuesday-blitz-march-19-2024-4634461,6,4.0,5,5
adar_07,False,0.0,81.1,2832,early-titled-tuesday-blitz-march-19-2024-4634461,7,4.0,7,7
adar_07,True,1.0,97.0,2835,early-titled-tuesday-blitz-march-19-2024-4634461,8,5.0,7,7
adar_07,False,1.0,100.0,2839,early-titled-tuesday-blitz-march-19-2024-4634461,9,6.0,6,6
adar_07,True,1.0,92.8,2843,early-titled-tuesday-blitz-march-19-2024-4634461,10,7.0,6,6
adar_07,True,1.0,95.2,2853,early-titled-tuesday-blitz-march-19-2024-4634461,11,8.0,5,5
adotand,False,1.0,88.4,2984,early-titled-tuesday-blitz-october-08-2024-5109897,1,1.0,1,1
adotand,True,0.5,,2978,early-titled-tuesday-blitz-october-08-2024-5109897,2,1.5,2,2
adotand,False,1.0,85.8,2978,early-titled-tuesday-blitz-october-08-2024-5109897,3,2.5,2,2
adotand,True,1.0,85.0,2982,early-titled-tuesday-blitz-october-08-2024-5109897,4,3.5,2,2
adotand,True,1.0,,2986,early-titled-tuesday-blitz-october-08-2024-5109897,5,4.5,2,2
adotand,False,1.0,77.0,2990,early-titled-tuesday-blitz-october-08-2024-5109897,6,5.5,2,2
adotand,False,0.0,80.7,2986,early-titled-tuesday-blitz-october-08-2024-5109897,7,5.5,4,4
adotand,True,1.0,92.3,2990,early-titled-tuesday-blitz-october-08-2024-5109897,8,6.5,4,4
adotand,True,1.0,89.4,2994,early-titled-tuesday-blitz-october-08-2024-5109897,9,7.5,3,3
adotand,False,0.0,83.9,2989,early-titled-tuesday-blitz-october-08-2024-5109897,10,7.5,5,5
adotand,True,0.5,74.3,2986,early-titled-tuesday-blitz-october-08-2024-5109897,11,8.0,4,4
adotand,False,1.0,74.9,2887,early-titled-tuesday-blitz-february-06-2024-4547611,1,1.0,1,1
adotand,True,1.0,92.2,2890,early-titled-tuesday-blitz-february-06-2024-4547611,2,2.0,1,1
adotand,False,1.0,89.4,2894,early-titled-tuesday-blitz-february-06-2024-4547611,3,2.5,2,2
adotand,True,1.0,,2898,early-titled-tuesday-blitz-february-06-2024-4547611,4,3.5,2,2
adotand,True,0.0,88.1,2893,early-titled-tuesday-blitz-february-06-2024-4547611,5,3.5,4,4
adotand,False,1.0,86.8,2896,early-titled-tuesday-blitz-february-06-2024-4547611,6,5.5,2,2
adotand,True,0.0,86.9,2891,early-titled-tuesday-blitz-february-06-2024-4547611,7,5.5,4,4
adotand,False,1.0,85.1,2895,early-titled-tuesday-blitz-february-06-2024-4547611,8,6.5,4,4
adotand,False,1.0,78.9,2898,early-titled-tuesday-blitz-february-06-2024-4547611,9,7.5,3,3
adotand,True,1.0,73.8,2908,early-titled-tuesday-blitz-february-06-2024-4547611,10,8.5,2,2
adotand,True,0.5,95.0,2911,early-titled-tuesday-blitz-february-06-2024-4547611,11,8.0,5,5
adotand,True,1.0,84.4,2909,early-titled-tuesday-blitz-january-02-2024-4490237,1,1.0,1,1
adotand,False,1.0,79.2,2911,early-titled-tuesday-blitz-january-02-2024-4490237,2,2.0,1,1
adotand,False,1.0,88.2,2914,early-titled-tuesday-blitz-january-02-2024-4490237,3,2.5,2,2
adotand,True,0.0,85.0,2913,early-titled-tuesday-blitz-january-02-2024-4490237,4,2.5,4,4
adotand,False,1.0,87.7,2916,early-titled-tuesday-blitz-january-02-2024-4490237,5,4.5,2,2
adotand,True,1.0,90.8,2918,early-titled-tuesday-blitz-january-02-2024-4490237,6,5.5,2,2
adotand,False,1.0,95.2,2929,early-titled-tuesday-blitz-january-02-2024-4490237,7,6.5,2,2
adotand,False,0.0,78.3,2924,early-titled-tuesday-blitz-january-02-2024-4490237,8,5.5,6,6
adotand,True,1.0,90.7,2934,early-titled-tuesday-blitz-january-02-2024-4490237,9,7.5,3,3
adotand,False,0.0,88.3,2927,early-titled-tuesday-blitz-january-02-2024-4490237,10,7.5,4,4
adotand,True,1.0,84.8,2932,early-titled-tuesday-blitz-january-02-2024-4490237,11,8.5,4,4
adotand,True,1.0,79.2,2912,early-titled-tuesday-blitz-october-31-2023-4348175,1,1.0,1,1
adotand,False,1.0,90.1,2914,early-titled-tuesday-blitz-october-31-2023-4348175,2,2.0,1,1
adotand,True,1.0,85.6,2917,early-titled-tuesday-blitz-october-31-2023-4348175,3,2.5,2,2
adotand,True,1.0,76.8,2921,early-titled-tuesday-blitz-october-31-2023-4348175,4,3.5,2,2
adotand,False,0.0,82.7,2917,early-titled-tuesday-blitz-october-31-2023-4348175,5,3.5,4,4
adotand,True,0.0,85.6,2906,early-titled-tuesday-blitz-october-31-2023-4348175,6,4.5,4,4
adotand,False,1.0,82.2,2909,early-titled-tuesday-blitz-october-31-2023-4348175,7,6.5,2,2
adotand,True,1.0,84.5,2913,early-titled-tuesday-blitz-october-31-2023-4348175,8,6.5,4,4
adotand,False,1.0,90.4,2918,early-titled-tuesday-blitz-october-31-2023-4348175,9,7.5,3,3
adotand,True,1.0,82.5,2929,early-titled-tuesday-blitz-october-31-2023-4348175,10,8.5,2,2
adotand,False,0.0,75.6,2922,early-titled-tuesday-blitz-october-31-2023-4348175,11,7.5,6,6
adotand,True,1.0,89.2,2864,early-titled-tuesday-blitz-october-17-2023-4321889,1,1.0,1,1
adotand,False,0.5,86.4,2859,early-titled-tuesday-blitz-october-17-2023-4321889,2,1.5,2,2
adotand,True,1.0,84.5,2862,early-titled-tuesday-blitz-october-17-2023-4321889,3,2.5,2,2
adotand,True,1.0,93.9,2866,early-titled-tuesday-blitz-october-17-2023-4321889,4,3.5,2,2
adotand,False,0.0,71.1,2854,early-titled-tuesday-blitz-october-17-2023-4321889,5,3.5,4,4
adotand,False,1.0,95.2,2857,early-titled-tuesday-blitz-october-17-2023-4321889,6,5.5,2,2
adotand,True,0.0,73.5,2846,early-titled-tuesday-blitz-october-17-2023-4321889,7,5.5,4,4
adotand,False,1.0,83.1,2850,early-titled-tuesday-blitz-october-17-2023-4321889,8,6.5,4,4
adotand,True,1.0,90.5,2854,early-titled-tuesday-blitz-october-17-2023-4321889,9,7.5,3,3
adotand,True,1.0,93.8,2860,early-titled-tuesday-blitz-october-17-2023-4321889,10,8.5,3,3
adotand,False,1.0,85.4,2865,early-titled-tuesday-blitz-october-17-2023-4321889,11,8.5,2,2
adotand,False,1.0,74.7,2858,early-titled-tuesday-blitz-october-10-2023-4318636,1,1.0,1,1
adotand,True,1.0,86.9,2860,early-titled-tuesday-blitz-october-10-2023-4318636,2,2.0,1,1
adotand,False,1.0,84.5,2863,early-titled-tuesday-blitz-october-10-2023-4318636,3,2.5,2,2
adotand,True,1.0,91.0,2867,early-titled-tuesday-blitz-october-10-2023-4318636,4,3.5,2,2
adotand,True,1.0,89.3,2872,early-titled-tuesday-blitz-october-10-2023-4318636,5,4.5,2,2
adotand,False,1.0,86.0,2878,early-titled-tuesday-blitz-october-10-2023-4318636,6,5.5,2,2
adotand,True,1.0,84.7,2884,early-titled-tuesday-blitz-october-10-2023-4318636,7,6.5,2,2
adotand,True,1.0,90.4,2896,early-titled-tuesday-blitz-october-10-2023-4318636,8,6.5,4,4
adotand,False,0.0,81.1,2892,early-titled-tuesday-blitz-october-10-2023-4318636,9,6.5,5,5
adotand,True,0.0,88.7,2883,early-titled-tuesday-blitz-october-10-2023-4318636,10,7.5,3,3
adotand,False,0.0,,0,early-titled-tuesday-blitz-october-10-2023-4318636,11,7.5,6,6
agartha01,False,0.0,78.9,2512,early-titled-tuesday-blitz-august-20-2024-4996245,1,0.0,3,3
agartha01,True,1.0,,2516,early-titled-tuesday-blitz-august-20-2024-4996245,2,1.0,3,3
agartha01,True,1.0,,2530,early-titled-tuesday-blitz-august-20-2024-4996245,3,2.0,3,3
agartha01,False,0.0,85.8,2526,early-titled-tuesday-blitz-august-20-2024-4996245,4,2.0,4,4
agartha01,True,1.0,,2528,early-titled-tuesday-blitz-august-20-2024-4996245,5,3.0,5,5
agartha01,True,1.0,88.0,2539,early-titled-tuesday-blitz-august-20-2024-4996245,6,4.0,5,5
agartha01,False,1.0,95.2,2551,early-titled-tuesday-blitz-august-20-2024-4996245,7,5.0,5,5
agartha01,True,1.0,80.4,2564,early-titled-tuesday-blitz-august-20-2024-4996245,8,6.0,5,5
agartha01,True,1.0,91.9,2578,early-titled-tuesday-blitz-august-20-2024-4996245,9,7.0,4,4
agartha01,False,0.5,96.7,2584,early-titled-tuesday-blitz-august-20-2024-4996245,10,7.5,4,4
agartha01,True,1.0,95.8,2597,early-titled-tuesday-blitz-august-20-2024-4996245,11,8.5,3,3
ajedrez_de_locos,False,1.0,93.3,2891,late-titled-tuesday-blitz-september-10-2024-5072893,1,1.0,1,1
ajedrez_de_locos,True,1.0,92.7,2894,late-titled-tuesday-blitz-september-10-2024-5072893,2,2.0,1,1
ajedrez_de_locos,False,1.0,96.8,2898,late-titled-tuesday-blitz-september-10-2024-5072893,3,3.0,1,1
ajedrez_de_locos,True,0.0,91.6,2894,late-titled-tuesday-blitz-september-10-2024-5072893,4,3.0,3,3
ajedrez_de_locos,True,1.0,,2898,late-titled-tuesday-blitz-september-10-2024-5072893,5,4.0,3,3
ajedrez_de_locos,False,1.0,,2902,late-titled-tuesday-blitz-september-10-2024-5072893,6,5.0,3,3
ajedrez_de_locos,True,0.0,91.7,2891,late-titled-tuesday-blitz-september-10-2024-5072893,7,5.0,5,5
ajedrez_de_locos,False,0.0,83.6,2879,late-titled-tuesday-blitz-september-10-2024-5072893,8,5.0,7,7
ajedrez_de_locos,True,1.0,93.9,2882,late-titled-tuesday-blitz-september-10-2024-5072893,9,6.0,6,6
ajedrez_de_locos,False,1.0,89.9,2887,late-titled-tuesday-blitz-september-10-2024-5072893,10,7.0,5,5
ajedrez_de_locos,True,1.0,,2890,late-titled-tuesday-blitz-september-10-2024-5072893,11,8.0,5,5
akewjon,False,1.0,92.1,2755,early-titled-tuesday-blitz-november-14-2023-4374824,1,1.0,1,1
akewjon,True,1.0,91.3,2758,early-titled-tuesday-blitz-november-14-2023-4374824,2,2.0,1,1
akewjon,False,0.0,84.2,2755,early-titled-tuesday-blitz-november-14-2023-4374824,3,2.0,3,3
akewjon,True,1.0,89.0,2759,early-titled-tuesday-blitz-november-14-2023-4374824,4,3.0,3,3
akewjon,False,1.0,86.5,2761,early-titled-tuesday-blitz-november-14-2023-4374824,5,4.0,3,3
akewjon,False,0.0,68.4,2756,early-titled-tuesday-blitz-november-14-2023-4374824,6,4.0,5,5
akewjon,True,1.0,91.1,2759,early-titled-tuesday-blitz-november-14-2023-4374824,7,5.0,5,5
akewjon,False,1.0,87.3,2770,early-titled-tuesday-blitz-november-14-2023-4374824,8,6.0,5,5
akewjon,True,1.0,87.7,2782,early-titled-tuesday-blitz-november-14-2023-4374824,9,7.0,5,5
akewjon,True,0.0,85.5,2778,early-titled-tuesday-blitz-november-14-2023-4374824,10,7.0,5,5
akewjon,False,1.0,87.2,2789,early-titled-tuesday-blitz-november-14-2023-4374824,11,8.0,4,4
alen_yeremyann,False,1.0,82.8,2752,early-titled-tuesday-blitz-october-24-2023-4335031,1,1.0,1,1
alen_yeremyann,True,1.0,79.8,2755,early-titled-tuesday-blitz-october-24-2023-4335031,2,2.0,1,1
alen_yeremyann,True,1.0,90.7,2769,early-titled-tuesday-blitz-october-24-2023-4335031,3,3.0,1,1
alen_yeremyann,False,1.0,84.2,2781,early-titled-tuesday-blitz-october-24-2023-4335031,4,4.0,1,1
alen_yeremyann,False,0.0,78.2,2777,early-titled-tuesday-blitz-october-24-2023-4335031,5,4.0,3,3
alen_yeremyann,True,1.0,85.7,2789,early-titled-tuesday-blitz-october-24-2023-4335031,6,5.0,3,3
alen_yeremyann,False,0.0,85.1,2785,early-titled-tuesday-blitz-october-24-2023-4335031,7,5.0,5,5
alen_yeremyann,True,0.0,79.4,2772,early-titled-tuesday-blitz-october-24-2023-4335031,8,5.0,7,7
alen_yeremyann,False,1.0,91.6,2777,early-titled-tuesday-blitz-october-24-2023-4335031,9,6.0,6,6
alen_yeremyann,False,1.0,80.6,2782,early-titled-tuesday-blitz-october-24-2023-4335031,10,7.0,6,6
